,type,price,square_meter,location,rooms,link,created,fetched
0,Lejlighed,12255,86,"København, Else Alfelts Vej",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/86m2-3-vaer-id-5268481,4 min. siden,2022-03-30
1,Værelse,4500,25,"København, Italiensvej",1,www.boligportal.dk/v%C3%A6relser/k%C3%B8benhavn/25m2-1-vaer-id-4901127,9 min. siden,2022-03-30
2,Lejlighed,13495,95,"København, Ørestads Boulevard",4,www.boligportal.dk/lejligheder/k%C3%B8benhavn/95m2-4-vaer-id-5244804,14 min. siden,2022-03-30
3,Lejlighed,13495,96,"København, Ørestads Boulevard",4,www.boligportal.dk/lejligheder/k%C3%B8benhavn/96m2-4-vaer-id-5268473,14 min. siden,2022-03-30
4,Lejlighed,13594,96,"København, Ørestads Boulevard",4,www.boligportal.dk/lejligheder/k%C3%B8benhavn/96m2-4-vaer-id-5268472,14 min. siden,2022-03-30
5,Lejlighed,12495,83,"København, Ørestads Boulevard",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/83m2-3-vaer-id-5268471,14 min. siden,2022-03-30
6,Lejlighed,16700,119,"København, Skindergade",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/119m2-3-vaer-id-4623823,20 min. siden,2022-03-30
7,Værelse,4100,17,"København, Emdrupvej",1,www.boligportal.dk/v%C3%A6relser/k%C3%B8benhavn/17m2-1-vaer-id-5268323,2 timer siden,2022-03-30
8,Lejlighed,6700,38,"København, Preben Kaas' Vænge",1,www.boligportal.dk/lejligheder/k%C3%B8benhavn/38m2-1-vaer-id-5268426,2 timer siden,2022-03-30
9,Lejlighed,17500,87,"København, Store Kongensgade",2,www.boligportal.dk/lejligheder/k%C3%B8benhavn/87m2-2-vaer-id-5268417,2 timer siden,2022-03-30
10,Lejlighed,11485,55,"København, Njalsgade",2,www.boligportal.dk/lejligheder/k%C3%B8benhavn/55m2-2-vaer-id-5268369,3 timer siden,2022-03-30
11,Lejlighed,6700,53,"København, Rossinisvej",2,www.boligportal.dk/lejligheder/k%C3%B8benhavn/53m2-2-vaer-id-5268007,3 timer siden,2022-03-30
12,Lejlighed,15900,92,"København, Lyneborggade",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/92m2-3-vaer-id-5053231,3 timer siden,2022-03-30
13,Lejlighed,14000,90,"København, C.F. Møllers Allé",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/90m2-3-vaer-id-5268360,3 timer siden,2022-03-30
14,Værelse,5000,19,"København, Glostervej",1,www.boligportal.dk/v%C3%A6relser/k%C3%B8benhavn/19m2-1-vaer-id-5206782,3 timer siden,2022-03-30
15,Lejlighed,18500,112,"København, Amerika Plads",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/112m2-3-vaer-id-5268375,14 timer siden,2022-03-30
16,Lejlighed,16800,126,"København, Store Kongensgade",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/126m2-3-vaer-id-5198290,15 timer siden,2022-03-30
17,Lejlighed,15000,96,"København, Islands Brygge",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/96m2-3-vaer-id-5231438,16 timer siden,2022-03-30
